RSI,MACD,Close,Stochastic Fast K,Stochastic Fast D,Williams %R,Ultimate Oscilator,TSF,CCI,Y
0.000000,-1.000000,165.000000,0.000000,0.000000,-100.000000,0.000000,166.935495,-100.000000,-30.000000
100.000000,1.000000,234.820000,100.000000,100.000000,0.000000,100.000000,218.767363,100.000000,30.000000
68.174626,6.795829,214.100000,82.080988,48.937873,-21.746881,39.570219,215.580000,101.979612,5.441079
48.590290,1.618358,218.360000,29.896907,45.356971,-83.458647,42.843135,214.481429,32.967863,0.450287
60.781329,1.548428,225.890000,88.012178,91.789165,-3.039858,68.104049,224.051429,57.507841,0.746104
46.999923,-1.623505,169.300000,68.949772,73.884775,-63.423171,50.453874,166.935495,87.718842,10.253602
45.090265,-1.254211,213.310000,58.479730,46.984797,-45.531781,51.306461,209.691758,15.461518,2.968923
47.109179,-0.934820,169.300000,14.581985,50.678668,-63.423171,42.261314,168.712308,-36.459343,12.321563
70.001723,4.319194,194.350000,83.304647,81.265030,-11.155837,53.834048,192.882967,92.848764,16.750906
67.124340,4.255455,192.250000,84.877813,67.082198,-8.949881,46.036871,191.725495,95.824292,16.652064
70.518123,4.655516,189.840000,86.001115,87.055901,-5.708438,60.375147,192.589780,97.387534,10.433454
75.998999,7.403137,212.490000,72.513369,81.445020,-24.790997,58.884664,212.678462,50.611109,3.526100
46.999923,-1.623505,169.300000,68.949772,73.884775,-63.423171,50.453874,166.935495,87.718842,10.253602
45.841072,0.931023,220.820000,25.851393,23.257648,-78.367876,41.468870,222.954286,-48.769046,3.906568
40.492966,-1.674898,167.040000,4.149026,18.481701,-95.850974,41.676362,170.591209,-89.213590,16.575758
46.738828,-2.014419,169.020000,94.641148,40.799642,-65.383269,43.320057,166.926154,110.065086,11.831185
56.105712,0.037715,221.720000,90.774648,93.359738,-13.108108,62.815080,216.095824,89.729340,-3.528836
71.226496,8.817621,230.540000,74.160732,80.051887,-9.588524,68.181501,235.225165,60.626093,-5.409556
61.075831,2.461701,227.180000,73.929655,60.868194,-5.284738,62.286624,231.087253,-20.844206,-0.105249
