RSI,MACD,MACD Signal,Close,Stochastic Fast K,Stochastic Fast D,AROON Osc,Williams %R,Ultimate Oscilator,TSF,CCI,Y
0,-1,-1,147.63,0,0,-100,-100,0,147.860236,-100,-6
100,1,1,154.2949,100,100,100,0,100,154.660288,100,6
64.129031,0.215735,0.215735,151.5611,94.474061,77.086167,16,-5.525939,57.598449,149.978336,80.705891,0.098322
50.12357,-0.088791,-0.088791,165.79,81.818182,63.593132,-60,-39.285714,46.790628,165.554105,123.45679,-1.56061
44.076165,-0.15913,-0.15913,161.33,34.210526,73.776214,-44,-55.675676,61.465667,161.376171,-61.48205,-0.460199
40.917698,-0.132153,-0.132153,154.7,17.241379,35.901189,-16,-81.096408,49.057573,154.734033,-147.253788,1.817594
53.049985,0.240887,0.240887,153.78,47.340706,71.417719,32,-88.328912,45.284671,153.436823,94.548154,-1.730507
57.643788,0.33542,0.33542,155.93,39.873418,42.840726,100,-60.126582,39.168264,155.811978,108.843537,-0.297349
53.660188,0.27342,0.27342,153.81,73.529412,65.138098,32,-89.316696,47.529072,153.348763,71.950406,-1.41761
47.102235,0.240421,0.240421,151.3634,35.373479,25.513793,24,-59.9,48.515902,152.077411,-90.919471,1.311171
38.884241,-0.341523,-0.341523,152.6499,41.822115,23.17465,-48,-70.208904,35.517505,152.047022,10.539834,-0.091059
35.994251,-0.052454,-0.052454,163.32,12,17.651843,16,-93.877551,30.416349,163.42,-154.418198,-0.784458
91.616286,1.363326,1.363326,155.735,87.164751,84.067461,92,-6.184235,63.635925,155.812336,85.692437,-2.189346
51.364147,-0.135343,-0.135343,159.02,68.965517,73.853963,-12,-36.170213,58.072946,158.576703,111.872146,-0.458629
73.069544,0.274296,0.274296,162.8847,89.963277,92.779242,12,-10.036723,69.950132,161.970611,148.339722,0.973031
48.254473,-0.085409,-0.085409,160.98,30.599369,43.77039,4,-69.400631,42.2046,161.060549,12.399772,0.935676
65.624582,0.636267,0.636267,157.46,68.523214,73.225805,92,-9.809264,64.89699,158.149625,71.389612,1.003557
69.662386,0.591692,0.591692,160.6102,12.04,45.989905,60,-28.374194,59.766847,160.913137,-94.63436,1.052238
